2017-01-12 14:29:32,046 [Thread-46:6720] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:31:24,151 [Thread-48:352] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:31:24,154 [Thread-48:352] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:31:24,171 [Thread-48:352] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:31:33,236 [Thread-50:3868] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:31:33,236 [Thread-50:3868] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:31:33,242 [Thread-50:3868] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:31:48,503 [Thread-54:5928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:31:48,506 [Thread-54:5928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:31:48,519 [Thread-54:5928] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:31:51,017 [Thread-55:8968] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:31:51,019 [Thread-55:8968] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:31:51,025 [Thread-55:8968] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5 OFFSET 5; args=()
2017-01-12 14:31:52,243 [Thread-56:8120] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:31:52,244 [Thread-56:8120] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:31:52,253 [Thread-56:8120] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5 OFFSET 10; args=()
2017-01-12 14:32:43,816 [Thread-58:5240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:32:43,818 [Thread-58:5240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:32:43,825 [Thread-58:5240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:32:46,381 [Thread-59:8180] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:32:46,381 [Thread-59:8180] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:32:46,387 [Thread-59:8180] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:32:47,645 [Thread-60:1728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:32:47,648 [Thread-60:1728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:32:47,660 [Thread-60:1728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:33:01,512 [Dummy-1:8492] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:33:01,536 [Dummy-1:8492] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:33:01,539 [Dummy-1:8492] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
